ticker,tipo_provento,data_com,data_pagamento,valor
ABCB4,JRS CAP PROPRIO,2008-12-30,2008-12-30,0.13
ABCB4,JRS CAP PROPRIO,2008-09-30,2008-09-30,0.13
ABCB4,JRS CAP PROPRIO,2008-06-30,2008-06-30,0.12
ABCB4,JRS CAP PROPRIO,2008-03-31,2008-03-31,0.12
ABCB4,JRS CAP PROPRIO,2007-12-20,2007-12-20,0.32
ABEV3,JRS CAP PROPRIO,2015-02-27,2015-03-31,0.09
ABEV3,DIVIDENDO,2014-04-02,2014-04-02,0.13
ADHM3,DIVIDENDO,2014-04-28,2014-06-27,0.2664
AERI3,DIVIDENDO,1969-12-31,2023-03-31,
AFLT3,DIVIDENDO,2021-12-06,2021-12-21,0.190442
AFLT3,DIVIDENDO,2021-05-07,2021-05-12,0.122615
ALLD3,JRS CAP PROPRIO,2023-12-19,2024-03-25,0.965452
ALLD3,JRS CAP PROPRIO,2021-09-16,2021-09-30,0.337139
ALLD3,DIVIDENDO,2021-09-16,2021-09-30,0.028555
ALLD3,DIVIDENDO,2021-09-16,2021-09-30,0.097948
ALPA3,JRS CAP PROPRIO,2021-12-31,2022-01-03,0.148321
ALPA4,JRS CAP PROPRIO,2021-12-31,2022-01-03,0.163153
ALSO3,DIVIDENDO,2023-04-28,2023-07-26,0.259507
ALSO3,DIVIDENDO,2023-04-28,2023-05-24,0.259507
ALSO3,DIVIDENDO,2022-05-02,2022-05-20,0.383931
ALSO3,DIVIDENDO,2021-04-28,2021-05-17,0.226402
ALSO3,DIVIDENDO,2019-04-29,2019-04-29,0.455
ALSO3,DIVIDENDO,2018-04-25,2018-04-25,0.455
ALSO3,DIVIDENDO,2017-04-27,2017-04-27,0.455
ALSO3,DIVIDENDO,2016-04-27,2016-05-20,0.455
ALSO3,DIVIDENDO,2015-04-29,2015-05-20,0.455
ALSO3,DIVIDENDO,2014-04-29,2014-05-15,0.455
ALSO3,DIVIDENDO,2013-04-25,2013-04-25,0.35
ALSO3,DIVIDENDO,2012-04-25,2012-04-25,0.32
ALSO3,DIVIDENDO,2011-04-28,2011-04-28,0.038457
ALUP11,DIVIDENDO,2020-04-27,2020-11-30,0.36
ALUP11,DIVIDENDO,2020-04-27,2020-06-17,0.33
ALUP3,DIVIDENDO,2020-04-27,2020-11-30,0.12
ALUP3,DIVIDENDO,2020-04-27,2020-06-17,0.11
ALUP4,DIVIDENDO,2020-04-27,2020-11-30,0.12
ALUP4,DIVIDENDO,2020-04-27,2020-06-17,0.11
ANIM3,DIVIDENDO,2019-04-25,2019-05-10,0.0023
APER3,DIVIDENDO,2022-06-24,2022-06-27,0.069229
ARML3,DIVIDENDO,2022-12-28,2023-02-23,0.066603
ARZZ3,DIVIDENDO,2023-11-10,2023-11-28,0.297375
ARZZ3,JRS CAP PROPRIO,2023-11-10,2023-11-28,0.785321
ARZZ3,JRS CAP PROPRIO,2023-06-30,2023-09-01,0.849769
ARZZ3,JRS CAP PROPRIO,2022-12-16,2023-01-30,0.745175
ARZZ3,DIVIDENDO,2022-04-29,2022-12-28,0.455559
ARZZ3,JRS CAP PROPRIO,2022-07-01,2022-07-14,0.634895
ARZZ3,JRS CAP PROPRIO,2021-12-03,2022-01-14,0.339235
ARZZ3,DIVIDENDO,2021-12-03,2022-01-14,0.263232
ARZZ3,DIVIDENDO,2021-04-29,2021-07-30,0.02592
ARZZ3,JRS CAP PROPRIO,2021-06-28,2021-07-30,0.298651
ARZZ3,JRS CAP PROPRIO,2021-07-01,2021-07-30,0.02592
ARZZ3,DIVIDENDO,2021-07-01,2021-07-30,0.259207
ARZZ3,JRS CAP PROPRIO,2020-10-29,2020-12-23,0.296627
ARZZ3,DIVIDENDO,2020-10-29,2020-12-23,0.234099
ARZZ3,DIVIDENDO,2019-12-03,2020-01-08,0.079589
ARZZ3,JRS CAP PROPRIO,2019-12-03,2020-01-08,0.195289
ARZZ3,DIVIDENDO,2019-10-04,2019-10-15,0.079974
ARZZ3,JRS CAP PROPRIO,2019-06-27,2019-07-25,0.223796
ARZZ3,DIVIDENDO,2019-02-26,2019-04-02,0.831022
ARZZ3,JRS CAP PROPRIO,2018-12-21,2019-01-15,0.230993
ARZZ3,DIVIDENDO,2018-10-08,2018-10-22,0.277007
ARZZ3,JRS CAP PROPRIO,2018-06-29,2018-07-25,0.232785
ARZZ3,DIVIDENDO,2018-05-23,2018-06-08,0.512872
ARZZ3,JRS CAP PROPRIO,2017-12-21,2018-01-05,0.233054
ARZZ3,DIVIDENDO,2017-09-04,2017-09-27,0.989606
ARZZ3,JRS CAP PROPRIO,2017-06-30,2017-07-28,0.239957
ARZZ3,JRS CAP PROPRIO,2016-12-15,2016-12-29,0.250445
ARZZ3,DIVIDENDO,2016-09-29,2016-10-26,0.126712
ARZZ3,JRS CAP PROPRIO,2016-06-24,2016-07-15,0.246596
ARZZ3,DIVIDENDO,2016-04-29,2016-05-20,0.210795
ARZZ3,JRS CAP PROPRIO,2015-12-15,2015-12-30,0.092502
ARZZ3,DIVIDENDO,2015-08-03,2015-08-28,0.106923
ARZZ3,JRS CAP PROPRIO,2015-06-17,2015-06-30,0.06543
ARZZ3,JRS CAP PROPRIO,2015-06-17,2015-06-30,0.109943
ARZZ3,DIVIDENDO,2015-04-24,2015-05-15,0.398592
ARZZ3,JRS CAP PROPRIO,2014-12-16,2014-12-30,0.027077
ARZZ3,JRS CAP PROPRIO,2014-12-16,2014-12-30,0.109943
ARZZ3,DIVIDENDO,2014-07-28,2014-08-29,0.124839
ARZZ3,JRS CAP PROPRIO,2014-06-20,2014-06-30,0.11
ARZZ3,JRS CAP PROPRIO,2014-06-20,2014-06-30,0.028038
ASAI3,DIVIDENDO,2022-12-28,2023-02-21,0.037059
ATMP3,DIVIDENDO,2008-04-04,2008-04-30,0.999
ATMP3,DIVIDENDO,2007-04-16,2007-04-27,0.0042
AURE3,DIVIDENDO,2022-05-03,2022-05-19,0.041851
AURE3,DIVIDENDO,2022-05-03,2022-05-19,0.044197
AZEV3,JRS CAP PROPRIO,2015-12-11,2016-11-30,0.0154
AZEV3,DIVIDENDO,2015-05-01,2016-04-30,0.003727
AZEV3,JRS CAP PROPRIO,2015-12-11,2015-12-30,0.001283
AZEV3,DIVIDENDO,2015-04-30,2015-06-30,0.00372
AZEV4,JRS CAP PROPRIO,2015-12-11,2016-11-30,0.0154
AZEV4,DIVIDENDO,2015-05-01,2016-04-30,0.003727
AZEV4,JRS CAP PROPRIO,2015-12-11,2015-12-30,0.001283
AZEV4,DIVIDENDO,2015-04-30,2015-06-30,0.00372
B3SA3,JRS CAP PROPRIO,2008-12-30,2008-12-30,0.069247
B3SA3,DIVIDENDO,2008-08-25,2008-08-25,0.069969
B3SA3,JRS CAP PROPRIO,2008-08-25,2008-08-25,0.072995
BALM3,JRS CAP PROPRIO,2023-12-05,2024-12-27,0.77647
BALM3,JRS CAP PROPRIO,2023-12-05,2024-09-27,0.77647
BALM3,JRS CAP PROPRIO,2023-12-05,2024-06-27,0.77647
BALM3,JRS CAP PROPRIO,2023-12-05,2024-03-27,0.77647
BALM3,DIVIDENDO,2020-04-29,2021-03-16,0.23
BALM4,JRS CAP PROPRIO,2023-12-05,2024-12-27,0.77647
BALM4,JRS CAP PROPRIO,2023-12-05,2024-09-27,0.77647
BALM4,JRS CAP PROPRIO,2023-12-05,2024-06-27,0.77647
BALM4,JRS CAP PROPRIO,2023-12-05,2024-03-27,0.77647
BALM4,DIVIDENDO,2020-04-29,2021-03-16,0.23
BAZA3,RENDIMENTO,2021-04-22,2021-05-05,0.016227
BAZA3,RENDIMENTO,2020-04-06,2020-04-17,0.037996
BAZA3,RENDIMENTO,2019-04-26,2019-05-09,0.028024
BAZA3,RENDIMENTO,2018-04-23,2018-05-04,0.012524
BBAS3,RENDIMENTO,2024-02-21,2024-02-29,0.014823
BBAS3,RENDIMENTO,2019-08-21,2019-08-30,0.004032
BBAS3,RENDIMENTO,2019-02-21,2019-03-07,0.005356
BBAS3,RENDIMENTO,2018-08-21,2018-08-31,0.00244
BBAS3,RENDIMENTO,2018-03-01,2018-03-12,0.002618
BBAS3,RENDIMENTO,2017-03-01,2017-03-10,0.00051
BBAS3,JRS CAP PROPRIO,2008-12-22,2008-12-22,0.159961
BBAS3,DIVIDENDO,2008-11-13,2008-11-13,0.134065
BBAS3,JRS CAP PROPRIO,2008-09-23,2008-09-23,0.159677
BBAS3,RENDIMENTO,2008-08-15,2008-08-15,0.001916
BBAS3,DIVIDENDO,2008-08-15,2008-08-15,0.115924
BBAS3,JRS CAP PROPRIO,2008-06-23,2008-06-23,0.142768
BBAS3,DIVIDENDO,2008-05-14,2008-05-14,0.224216
BBAS3,JRS CAP PROPRIO,2008-03-20,2008-03-20,0.145145
BBAS3,RENDIMENTO,2008-02-26,2008-02-26,0.000856
BBAS3,DIVIDENDO,2008-02-26,2008-02-26,0.053166
BBAS3,JRS CAP PROPRIO,2007-12-21,2007-12-21,0.139986
BBAS3,RENDIMENTO,2007-12-21,2007-12-21,
BBAS3,DIVIDENDO,2007-11-13,2007-11-13,0.085721
BBAS3,JRS CAP PROPRIO,2007-09-21,2007-09-21,0.134644
BBAS3,DIVIDENDO,2007-08-14,2007-08-14,0.038983
BBAS3,RENDIMENTO,2007-08-14,2007-08-14,0.000549
BBAS3,JRS CAP PROPRIO,2007-06-21,2007-06-21,0.133617
BBAS3,DIVIDENDO,2007-05-15,2007-05-15,0.293761
BBAS3,JRS CAP PROPRIO,2007-03-21,2007-03-21,0.389026
BBAS3,DIVIDENDO,2007-02-27,2007-02-27,0.219138
BBAS3,RENDIMENTO,2007-02-27,2007-02-27,0.0042
BBAS3,RENDIMENTO,2006-12-21,2006-12-21,
BBAS3,JRS CAP PROPRIO,2006-12-21,2006-12-21,0.825595
BBAS3,RENDIMENTO,2006-08-14,2006-08-14,0.0182
BBAS3,RENDIMENTO,2006-08-14,2006-08-14,0.014629
BBAS3,DIVIDENDO,2006-08-14,2006-08-14,1.056568
BBAS3,JRS CAP PROPRIO,2006-08-14,2006-08-14,0.849233
BBAS3,DIVIDENDO,2006-04-19,2006-04-19,0.941231
BBAS3,RENDIMENTO,2006-02-20,2006-02-20,0.003798
