data_aprovacao,data_com,data_ult_preco_com,tipo_ativo,tipo_provento,ult_preco_com,valor,ticker,data_pagamento,isin,ticker_base
2023-12-14,2023-12-19,2023-12-19,ON,JRS CAP PROPRIO,8.05,0.482726015,ALLD3,2024-03-25 00:00:00.000000000,BRALLDACNOR3,ALLD
2024-04-30,2024-04-30,2024-04-30,ON,DIVIDENDO,20.88,0.559698665,ALOS3,2024-07-15 00:00:00.000000000,BRALOSACNOR5,ALOS
2012-04-26,2012-04-26,2012-04-18,ON,DIVIDENDO,19.99,1.13e-05,AMCE3,,,AMCE
2015-12-11,2015-12-11,2015-12-08,ON,JRS CAP PROPRIO,1.5,0.006419041,AZEV3,2016-01-29 00:00:00.000000000,BRAZEVACNOR0,AZEV
2015-12-11,2015-12-11,2015-12-08,ON,JRS CAP PROPRIO,1.5,0.006419041,AZEV3,2016-02-29 00:00:00.000000000,BRAZEVACNOR0,AZEV
2015-12-11,2015-12-11,2015-12-08,ON,JRS CAP PROPRIO,1.5,0.006419041,AZEV3,2016-03-31 00:00:00.000000000,BRAZEVACNOR0,AZEV
2015-12-11,2015-12-11,2015-12-08,ON,JRS CAP PROPRIO,1.5,0.006419041,AZEV3,2016-04-29 00:00:00.000000000,BRAZEVACNOR0,AZEV
2015-12-11,2015-12-11,2015-12-08,ON,JRS CAP PROPRIO,1.5,0.006419041,AZEV3,2016-05-31 00:00:00.000000000,BRAZEVACNOR0,AZEV
2015-12-11,2015-12-11,2015-12-08,ON,JRS CAP PROPRIO,1.5,0.006419041,AZEV3,2016-06-30 00:00:00.000000000,BRAZEVACNOR0,AZEV
2015-12-11,2015-12-11,2015-12-08,ON,JRS CAP PROPRIO,1.5,0.006419041,AZEV3,2016-07-29 00:00:00.000000000,BRAZEVACNOR0,AZEV
2015-12-11,2015-12-11,2015-12-08,ON,JRS CAP PROPRIO,1.5,0.006419041,AZEV3,2016-08-31 00:00:00.000000000,BRAZEVACNOR0,AZEV
2015-12-11,2015-12-11,2015-12-08,ON,JRS CAP PROPRIO,1.5,0.006419041,AZEV3,2016-09-30 00:00:00.000000000,BRAZEVACNOR0,AZEV
2015-12-11,2015-12-11,2015-12-08,ON,JRS CAP PROPRIO,1.5,0.006419041,AZEV3,2016-10-31 00:00:00.000000000,BRAZEVACNOR0,AZEV
2015-12-11,2015-12-11,2015-12-08,ON,JRS CAP PROPRIO,1.5,0.006419042,AZEV3,2016-11-30 00:00:00.000000000,BRAZEVACNOR0,AZEV
2015-12-11,2015-12-11,2015-12-03,PN,JRS CAP PROPRIO,1.3,0.006419041,AZEV4,2016-01-29 00:00:00.000000000,BRAZEVACNPR7,AZEV
2015-12-11,2015-12-11,2015-12-03,PN,JRS CAP PROPRIO,1.3,0.006419041,AZEV4,2016-02-29 00:00:00.000000000,BRAZEVACNPR7,AZEV
2015-12-11,2015-12-11,2015-12-03,PN,JRS CAP PROPRIO,1.3,0.006419041,AZEV4,2016-03-31 00:00:00.000000000,BRAZEVACNPR7,AZEV
2015-12-11,2015-12-11,2015-12-03,PN,JRS CAP PROPRIO,1.3,0.006419041,AZEV4,2016-04-29 00:00:00.000000000,BRAZEVACNPR7,AZEV
2015-12-11,2015-12-11,2015-12-03,PN,JRS CAP PROPRIO,1.3,0.006419041,AZEV4,2016-05-31 00:00:00.000000000,BRAZEVACNPR7,AZEV
2015-12-11,2015-12-11,2015-12-03,PN,JRS CAP PROPRIO,1.3,0.006419041,AZEV4,2016-06-30 00:00:00.000000000,BRAZEVACNPR7,AZEV
2015-12-11,2015-12-11,2015-12-03,PN,JRS CAP PROPRIO,1.3,0.006419041,AZEV4,2016-07-29 00:00:00.000000000,BRAZEVACNPR7,AZEV
2015-12-11,2015-12-11,2015-12-03,PN,JRS CAP PROPRIO,1.3,0.006419041,AZEV4,2016-08-31 00:00:00.000000000,BRAZEVACNPR7,AZEV
2015-12-11,2015-12-11,2015-12-03,PN,JRS CAP PROPRIO,1.3,0.006419041,AZEV4,2016-09-30 00:00:00.000000000,BRAZEVACNPR7,AZEV
2015-12-11,2015-12-11,2015-12-03,PN,JRS CAP PROPRIO,1.3,0.006419041,AZEV4,2016-10-31 00:00:00.000000000,BRAZEVACNPR7,AZEV
2015-12-11,2015-12-11,2015-12-03,PN,JRS CAP PROPRIO,1.3,0.006419042,AZEV4,2016-11-30 00:00:00.000000000,BRAZEVACNPR7,AZEV
