data_aprovacao,data_com,data_ult_preco_com,tipo_ativo,tipo_provento,ult_preco_com,valor,ticker,data_pagamento,isin,ticker_base
2010-04-30,2010-04-30,,ON,DIVIDENDO,0.0,0.000535,AEDU3,,,AEDU
2010-04-30,2010-04-30,2010-04-30,ON,DIVIDENDO,48.3,0.94676,AELP3,,,AELP
2016-09-01,2016-09-06,,ON,DIVIDENDO,2.05,0.118886,AFLT3,2016-09-15 00:00:00.000000000,,AFLT
2013-08-22,2013-08-23,,ON,DIVIDENDO,5.26,0.088433,AFLU3,,,AFLU
2009-09-30,2009-09-30,,ON,DIVIDENDO,15.34,0.494465,AFLU3,,,AFLU
2009-09-30,2009-09-30,,ON,JRS CAP PROPRIO,15.34,0.076503,AFLU3,,,AFLU
2013-08-22,2013-08-23,,PNA,DIVIDENDO,0.0,0.088433,AFLU5,,,AFLU
2016-04-28,2016-04-28,,PNA,DIVIDENDO,0.0,0.154812,AFLU5,,,AFLU
2015-04-28,2015-04-28,,PNA,DIVIDENDO,0.0,0.162273,AFLU5,,,AFLU
2017-04-28,2017-04-28,,PNA,DIVIDENDO,0.0,0.286518,AFLU5,,,AFLU
2016-10-13,2016-10-18,,PNA,DIVIDENDO,0.0,0.291268,AFLU5,,,AFLU
2011-04-29,2011-04-29,,PNA,DIVIDENDO,0.0,0.306226,AFLU5,,,AFLU
2014-04-29,2014-04-29,,PNA,DIVIDENDO,0.0,0.342736,AFLU5,,,AFLU
2012-04-20,2012-04-20,,PNA,DIVIDENDO,0.0,0.36877,AFLU5,,,AFLU
2009-09-30,2009-09-30,,PNA,DIVIDENDO,8.7,0.494465,AFLU5,,,AFLU
2013-04-29,2013-04-29,,PNA,DIVIDENDO,0.0,0.554034,AFLU5,,,AFLU
2010-04-30,2010-04-30,,PNA,DIVIDENDO,8.05,0.576874,AFLU5,,,AFLU
2009-03-31,2009-03-31,,PNA,DIVIDENDO,9.61,0.755134,AFLU5,,,AFLU
2010-12-30,2010-12-30,,PNA,JRS CAP PROPRIO,0.0,0.027974,AFLU5,,,AFLU
2010-09-30,2010-09-30,,PNA,JRS CAP PROPRIO,7.47,0.028026,AFLU5,,,AFLU
2009-09-30,2009-09-30,,PNA,JRS CAP PROPRIO,8.7,0.076503,AFLU5,,,AFLU
2009-12-18,2009-12-18,,PNA,JRS CAP PROPRIO,8.12,0.076503,AFLU5,,,AFLU
2009-06-29,2009-06-29,,PNA,JRS CAP PROPRIO,8.86,0.159292,AFLU5,,,AFLU
2023-12-14,2023-12-19,2023-12-19,ON,JRS CAP PROPRIO,8.05,0.482726,ALLD3,2024-03-25 00:00:00.000000000,BRALLDACNOR3,ALLD
2024-04-30,2024-04-30,2024-04-30,ON,DIVIDENDO,20.88,0.559699,ALOS3,2024-07-15 00:00:00.000000000,BRALOSACNOR5,ALOS
2024-08-08,2024-08-16,,,DIVIDENDO,,0.18,ALUP11,2024-10-08 00:00:00.000000000,BRALUPCDAM15,ALUP
2021-04-27,2021-04-27,2021-04-27,UNT,DIVIDENDO,26.58,0.3,ALUP11,2021-05-31 00:00:00.000000000,,ALUP
2022-04-11,2022-04-11,2022-04-11,UNT,DIVIDENDO,26.86,0.45,ALUP11,2022-05-31 00:00:00.000000000,,ALUP
2024-08-08,2024-08-16,,,DIVIDENDO,,0.06,ALUP3,2024-10-08 00:00:00.000000000,BRALUPACNOR8,ALUP
2021-04-27,2021-04-27,2021-04-27,ON,DIVIDENDO,8.61,0.1,ALUP3,2021-05-31 00:00:00.000000000,,ALUP
2016-04-20,2016-04-20,,ON,DIVIDENDO,0.0,0.12,ALUP3,2016-04-20 00:00:00.000000000,,ALUP
2022-04-11,2022-04-11,2022-04-11,ON,DIVIDENDO,8.96,0.15,ALUP3,2022-05-31 00:00:00.000000000,,ALUP
2014-09-15,2014-10-02,,ON,DIVIDENDO,0.0,0.16,ALUP3,2014-10-17 00:00:00.000000000,,ALUP
2016-04-20,2016-04-20,,ON,DIVIDENDO,0.0,0.16,ALUP3,2016-07-29 00:00:00.000000000,,ALUP
2014-04-16,2014-04-16,,ON,DIVIDENDO,0.0,0.25,ALUP3,,,ALUP
2014-04-16,2014-04-16,,ON,DIVIDENDO,0.0,0.31,ALUP3,2014-04-16 00:00:00.000000000,,ALUP
2015-04-15,2015-04-15,,ON,DIVIDENDO,0.0,0.4,ALUP3,2015-05-04 00:00:00.000000000,,ALUP
2024-08-08,2024-08-16,,,DIVIDENDO,,0.06,ALUP4,2024-10-08 00:00:00.000000000,BRALUPACNPR5,ALUP
2021-04-27,2021-04-27,2021-04-27,PN,DIVIDENDO,8.93,0.1,ALUP4,2021-05-31 00:00:00.000000000,,ALUP
2016-04-20,2016-04-20,,PN,DIVIDENDO,0.0,0.12,ALUP4,2016-04-20 00:00:00.000000000,,ALUP
2022-04-11,2022-04-11,2022-04-11,PN,DIVIDENDO,8.99,0.15,ALUP4,2022-05-31 00:00:00.000000000,,ALUP
2014-09-15,2014-10-02,,PN,DIVIDENDO,0.0,0.16,ALUP4,2014-10-17 00:00:00.000000000,,ALUP
