data_aprovacao,data_com,data_ult_preco_com,tipo_ativo,tipo_provento,ult_preco_com,valor,ticker,data_pagamento,isin,ticker_base
2010-04-30,2010-04-30,,ON,DIVIDENDO,0.0,0.00053483,AEDU3,,,AEDU
2010-04-30,2010-04-30,2010-04-30,ON,DIVIDENDO,48.3,0.9467599733,AELP3,,,AELP
2016-09-01,2016-09-06,,ON,DIVIDENDO,2.05,0.1188864693,AFLT3,,,AFLT
2013-08-22,2013-08-23,,ON,DIVIDENDO,5.26,0.0884330259,AFLU3,,,AFLU
2009-09-30,2009-09-30,,ON,DIVIDENDO,15.34,0.4944648,AFLU3,,,AFLU
2009-09-30,2009-09-30,,ON,JRS CAP PROPRIO,15.34,0.0765034,AFLU3,,,AFLU
2013-08-22,2013-08-23,,PNA,DIVIDENDO,0.0,0.0884330259,AFLU5,,,AFLU
2016-04-28,2016-04-28,,PNA,DIVIDENDO,0.0,0.154811656,AFLU5,,,AFLU
2015-04-28,2015-04-28,,PNA,DIVIDENDO,0.0,0.1622734365,AFLU5,,,AFLU
2017-04-28,2017-04-28,,PNA,DIVIDENDO,0.0,0.286517634,AFLU5,,,AFLU
2016-10-13,2016-10-18,,PNA,DIVIDENDO,0.0,0.2912676494,AFLU5,,,AFLU
2011-04-29,2011-04-29,,PNA,DIVIDENDO,0.0,0.3062255918,AFLU5,,,AFLU
2014-04-29,2014-04-29,,PNA,DIVIDENDO,0.0,0.3427361842,AFLU5,,,AFLU
2012-04-20,2012-04-20,,PNA,DIVIDENDO,0.0,0.3687701853,AFLU5,,,AFLU
2009-09-30,2009-09-30,,PNA,DIVIDENDO,8.7,0.4944648,AFLU5,,,AFLU
2013-04-29,2013-04-29,,PNA,DIVIDENDO,0.0,0.5540338296,AFLU5,,,AFLU
2010-04-30,2010-04-30,,PNA,DIVIDENDO,8.05,0.5768736639,AFLU5,,,AFLU
2009-03-31,2009-03-31,,PNA,DIVIDENDO,9.61,0.7551336,AFLU5,,,AFLU
2010-12-30,2010-12-30,,PNA,JRS CAP PROPRIO,0.0,0.02797399273,AFLU5,,,AFLU
2010-09-30,2010-09-30,,PNA,JRS CAP PROPRIO,7.47,0.02802551021,AFLU5,,,AFLU
2009-09-30,2009-09-30,,PNA,JRS CAP PROPRIO,8.7,0.0765034,AFLU5,,,AFLU
2009-12-18,2009-12-18,,PNA,JRS CAP PROPRIO,8.12,0.0765034608,AFLU5,,,AFLU
2009-06-29,2009-06-29,,PNA,JRS CAP PROPRIO,8.86,0.159292,AFLU5,,,AFLU
