data_aprovacao,data_com,data_ult_preco_com,tipo_ativo,tipo_provento,ult_preco_com,valor,ticker,data_pagamento,isin,ticker_base
2021-04-27,2021-04-27,2021-04-27,UNT,DIVIDENDO,26.58,0.3,ALUP11,2021-05-31,,ALUP
2022-04-11,2022-04-11,2022-04-11,UNT,DIVIDENDO,26.86,0.45,ALUP11,2022-05-31,,ALUP
2021-04-27,2021-04-27,2021-04-27,ON,DIVIDENDO,8.61,0.1,ALUP3,2021-05-31,,ALUP
2022-04-11,2022-04-11,2022-04-11,ON,DIVIDENDO,8.96,0.15,ALUP3,2022-05-31,,ALUP
2021-04-27,2021-04-27,2021-04-27,PN,DIVIDENDO,8.93,0.1,ALUP4,2021-05-31,,ALUP
2022-04-11,2022-04-11,2022-04-11,PN,DIVIDENDO,8.99,0.15,ALUP4,2022-05-31,,ALUP
2018-04-27,2018-04-30,2018-04-03,ON,DIVIDENDO,10.5,0.03,BALM3,2018-11-16,,BALM
2018-04-27,2018-04-30,2018-04-03,ON,DIVIDENDO,10.5,0.03,BALM3,2018-08-15,,BALM
2018-04-27,2018-04-30,2018-04-03,ON,DIVIDENDO,10.5,0.03,BALM3,2018-06-15,,BALM
2019-04-26,2019-04-30,2019-03-11,ON,DIVIDENDO,11.0,0.035,BALM3,2019-10-15,,BALM
2019-04-26,2019-04-30,2019-03-11,ON,DIVIDENDO,11.0,0.035,BALM3,2019-08-15,,BALM
2019-04-26,2019-04-30,2019-03-11,ON,DIVIDENDO,11.0,0.035,BALM3,2019-06-17,,BALM
2017-04-28,2017-04-28,,ON,DIVIDENDO,2.67,0.0375,BALM3,2017-11-15,,BALM
2017-04-28,2017-04-28,,ON,DIVIDENDO,2.67,0.0375,BALM3,2017-08-15,,BALM
2017-04-28,2017-04-28,,ON,DIVIDENDO,2.67,0.0375,BALM3,2017-06-15,,BALM
2022-04-29,2022-04-29,2022-04-08,ON,DIVIDENDO,15.0,0.062854,BALM3,2022-11-17,,BALM
2022-04-29,2022-04-29,2022-04-08,ON,DIVIDENDO,15.0,0.062854,BALM3,2022-09-15,,BALM
2015-04-30,2015-04-30,,ON,DIVIDENDO,3.39,0.0875,BALM3,2015-11-30,,BALM
2015-04-30,2015-04-30,,ON,DIVIDENDO,3.39,0.0875,BALM3,2015-08-31,,BALM
2015-04-30,2015-04-30,,ON,DIVIDENDO,3.39,0.0875,BALM3,2015-06-30,,BALM
2016-04-29,2016-04-29,,ON,DIVIDENDO,2.94,0.09,BALM3,2016-10-31,,BALM
2016-04-29,2016-04-29,,ON,DIVIDENDO,2.94,0.09,BALM3,2016-08-31,,BALM
2014-04-30,2014-04-30,,ON,DIVIDENDO,37.73,0.9525,BALM3,2014-11-28,,BALM
2014-04-30,2014-04-30,,ON,DIVIDENDO,37.73,0.9525,BALM3,2014-08-29,,BALM
2014-04-30,2014-04-30,,ON,DIVIDENDO,37.73,0.9525,BALM3,2014-05-30,,BALM
2018-04-27,2018-04-30,2018-04-12,PN,DIVIDENDO,8.2,0.03,BALM4,2018-11-16,,BALM
2018-04-27,2018-04-30,2018-04-12,PN,DIVIDENDO,8.2,0.03,BALM4,2018-08-15,,BALM
2018-04-27,2018-04-30,2018-04-12,PN,DIVIDENDO,8.2,0.03,BALM4,2018-06-15,,BALM
2019-04-26,2019-04-30,2019-03-20,PN,DIVIDENDO,12.98,0.035,BALM4,2019-10-15,,BALM
2019-04-26,2019-04-30,2019-03-20,PN,DIVIDENDO,12.98,0.035,BALM4,2019-08-15,,BALM
2019-04-26,2019-04-30,2019-03-20,PN,DIVIDENDO,12.98,0.035,BALM4,2019-06-17,,BALM
2017-04-28,2017-04-28,2017-04-28,PN,DIVIDENDO,8.23,0.0375,BALM4,2017-11-15,,BALM
2017-04-28,2017-04-28,2017-04-28,PN,DIVIDENDO,8.23,0.0375,BALM4,2017-08-15,,BALM
2017-04-28,2017-04-28,2017-04-28,PN,DIVIDENDO,8.23,0.0375,BALM4,2017-06-15,,BALM
2022-04-29,2022-04-29,2022-04-29,PN,DIVIDENDO,13.0,0.062854,BALM4,2022-11-17,,BALM
2022-04-29,2022-04-29,2022-04-29,PN,DIVIDENDO,13.0,0.062854,BALM4,2022-09-15,,BALM
2015-04-30,2015-04-30,2015-04-24,PN,DIVIDENDO,10.2,0.0875,BALM4,2015-11-30,,BALM
2015-04-30,2015-04-30,2015-04-24,PN,DIVIDENDO,10.2,0.0875,BALM4,2015-08-31,,BALM
2015-04-30,2015-04-30,2015-04-24,PN,DIVIDENDO,10.2,0.0875,BALM4,2015-06-30,,BALM
2016-04-29,2016-04-29,2016-04-19,PN,DIVIDENDO,9.1,0.09,BALM4,2016-10-31,,BALM
2016-04-29,2016-04-29,2016-04-19,PN,DIVIDENDO,9.1,0.09,BALM4,2016-08-31,,BALM
2014-04-30,2014-04-30,2014-04-29,PN,DIVIDENDO,116.01,0.9525,BALM4,2014-11-28,,BALM
2014-04-30,2014-04-30,2014-04-29,PN,DIVIDENDO,116.01,0.9525,BALM4,2014-08-29,,BALM
2014-04-30,2014-04-30,2014-04-29,PN,DIVIDENDO,116.01,0.9525,BALM4,2014-05-30,,BALM
2023-04-19,2023-04-19,2023-04-19,ON,DIVIDENDO,20.5,0.052393,BLAU3,2023-12-22,,BLAU
2022-04-26,2022-04-26,2022-04-26,ON,DIVIDENDO,9.06,0.0297,BRPR3,2022-06-30,,BRPR
2021-04-26,2021-04-26,2021-04-26,ON,DIVIDENDO,9.1,0.049241,BRPR3,2021-09-30,,BRPR
2015-04-30,2015-04-30,,ON,DIVIDENDO,39.81,1.788585,CLSC3,2015-06-30,,CLSC
2022-09-22,2022-09-30,2022-09-30,ON,JRS CAP PROPRIO,49.95,0.513814,CLSC3,2023-06-28,,CLSC
2019-12-12,2019-12-30,2019-12-19,ON,JRS CAP PROPRIO,47.99,0.634088,CLSC3,2020-06-29,,CLSC
2018-04-30,2018-04-30,2018-04-30,PN,DIVIDENDO,29.89,0.254953,CLSC4,2018-06-29,,CLSC
