data_aprovacao,data_com,data_ult_preco_com,tipo_ativo,tipo_provento,ult_preco_com,valor,ticker,data_pagamento,isin,ticker_base
1556064000000000000,1556150400000000000,1556150400000000000,ON,DIVIDENDO,14.98,0.08453882885,AALR3,,,AALR
1587945600000000000,1587945600000000000,1587945600000000000,ON,DIVIDENDO,10.63,0.08729755405,AALR3,1608249600000000000,BRAALRACNOR6,AALR
1254268800000000000,1254268800000000000,1254268800000000000,PN,JRS CAP PROPRIO,10.5,0.12,ABCB4,,,ABCB
1238457600000000000,1238457600000000000,1238457600000000000,PN,JRS CAP PROPRIO,5.66,0.13,ABCB4,,,ABCB
1246320000000000000,1246320000000000000,1246320000000000000,PN,JRS CAP PROPRIO,7.45,0.13,ABCB4,,,ABCB
1262131200000000000,1262131200000000000,1262131200000000000,PN,JRS CAP PROPRIO,11.8,0.13,ABCB4,,,ABCB
1269993600000000000,1269993600000000000,1269993600000000000,PN,JRS CAP PROPRIO,13.57,0.13,ABCB4,,,ABCB
1277856000000000000,1277856000000000000,1277856000000000000,PN,JRS CAP PROPRIO,12.16,0.13,ABCB4,,,ABCB
1285804800000000000,1285804800000000000,1285804800000000000,PN,JRS CAP PROPRIO,17.0,0.14,ABCB4,,,ABCB
1293667200000000000,1293667200000000000,1293667200000000000,PN,JRS CAP PROPRIO,14.62,0.14,ABCB4,,,ABCB
1301529600000000000,1301529600000000000,1301529600000000000,PN,JRS CAP PROPRIO,12.4,0.14,ABCB4,,,ABCB
1309392000000000000,1309392000000000000,1309392000000000000,PN,JRS CAP PROPRIO,11.72,0.15,ABCB4,,,ABCB
1317340800000000000,1317340800000000000,1317340800000000000,PN,JRS CAP PROPRIO,9.47,0.15,ABCB4,,,ABCB
1596758400000000000,1597190400000000000,1597190400000000000,PN,JRS CAP PROPRIO,13.95,0.158672758,ABCB4,,,ABCB
1325116800000000000,1325116800000000000,1325116800000000000,PN,JRS CAP PROPRIO,12.47,0.16,ABCB4,,,ABCB
1616630400000000000,1617148800000000000,1617148800000000000,PN,JRS CAP PROPRIO,14.5,0.213,ABCB4,,,ABCB
1624492800000000000,1625011200000000000,1625011200000000000,PN,JRS CAP PROPRIO,15.88,0.219,ABCB4,,,ABCB
1632960000000000000,1633478400000000000,1633478400000000000,PN,JRS CAP PROPRIO,15.25,0.232,ABCB4,,,ABCB
1640304000000000000,1640822400000000000,1640822400000000000,PN,JRS CAP PROPRIO,15.87,0.252,ABCB4,,,ABCB
1372291200000000000,1372377600000000000,1372377600000000000,PN,JRS CAP PROPRIO,13.51,0.296649,ABCB4,,,ABCB
1388016000000000000,1388361600000000000,1388361600000000000,PN,JRS CAP PROPRIO,12.64,0.303,ABCB4,,,ABCB
1356652800000000000,1357084800000000000,1357084800000000000,PN,JRS CAP PROPRIO,14.15,0.308,ABCB4,,,ABCB
1648425600000000000,1648684800000000000,1648684800000000000,PN,JRS CAP PROPRIO,17.23,0.313,ABCB4,,,ABCB
1403827200000000000,1404086400000000000,1404086400000000000,PN,JRS CAP PROPRIO,13.6,0.326,ABCB4,,,ABCB
1340928000000000000,1341187200000000000,1341187200000000000,PN,JRS CAP PROPRIO,9.72,0.33,ABCB4,,,ABCB
1419292800000000000,1419897600000000000,1419897600000000000,PN,JRS CAP PROPRIO,13.5,0.333,ABCB4,,,ABCB
1609286400000000000,1609891200000000000,1609891200000000000,PN,JRS CAP PROPRIO,16.14,0.338164306,ABCB4,,,ABCB
1656028800000000000,1656547200000000000,1656547200000000000,PN,JRS CAP PROPRIO,15.52,0.352,ABCB4,,,ABCB
1664150400000000000,1664496000000000000,1664496000000000000,PN,JRS CAP PROPRIO,20.9,0.362,ABCB4,,,ABCB
1672012800000000000,1672272000000000000,1672272000000000000,PN,JRS CAP PROPRIO,19.64,0.37,ABCB4,,,ABCB
1435276800000000000,1435622400000000000,1435622400000000000,PN,JRS CAP PROPRIO,11.7,0.40200657,ABCB4,,,ABCB
1451260800000000000,1451433600000000000,1451433600000000000,PN,JRS CAP PROPRIO,8.73,0.463003582,ABCB4,,,ABCB
1576800000000000000,1577664000000000000,1577664000000000000,PN,JRS CAP PROPRIO,20.19,0.491,ABCB4,,,ABCB
1513900800000000000,1514419200000000000,1514419200000000000,PN,JRS CAP PROPRIO,17.18,0.532,ABCB4,,,ABCB
1482710400000000000,1482969600000000000,1482969600000000000,PN,JRS CAP PROPRIO,13.93,0.539,ABCB4,,,ABCB
1545350400000000000,1545955200000000000,1545955200000000000,PN,JRS CAP PROPRIO,16.88,0.539,ABCB4,,,ABCB
1529971200000000000,1530230400000000000,1530230400000000000,PN,JRS CAP PROPRIO,15.07,0.54,ABCB4,,,ABCB
1466985600000000000,1467244800000000000,1467244800000000000,PN,JRS CAP PROPRIO,13.07,0.548,ABCB4,,,ABCB
1498521600000000000,1498780800000000000,1498780800000000000,PN,JRS CAP PROPRIO,16.79,0.554,ABCB4,,,ABCB
1561680000000000000,1562198400000000000,1562198400000000000,PN,JRS CAP PROPRIO,19.35,0.559,ABCB4,,,ABCB
1703203200000000000,1703721600000000000,1703721600000000000,PN,JRS CAP PROPRIO,25.04,0.741,ABCB4,1708387200000000000,BRABCBACNPR4,ABCB
1719187200000000000,1719532800000000000,1719532800000000000,PN,JRS CAP PROPRIO,22.14,0.78499983,ABCB4,1720742400000000000,BRABCBACNPR4,ABCB
1687737600000000000,1688083200000000000,1688083200000000000,PN,JRS CAP PROPRIO,19.07,0.836,ABCB4,,,ABCB
1395705600000000000,1396396800000000000,1396396800000000000,ON,DIVIDENDO,17.3,0.06,ABEV3,,,ABEV
1405296000000000000,1406505600000000000,1406505600000000000,ON,DIVIDENDO,16.46,0.06,ABEV3,,,ABEV
1395705600000000000,1396396800000000000,1396396800000000000,ON,DIVIDENDO,17.3,0.07,ABEV3,,,ABEV
1482364800000000000,1485129600000000000,1485129600000000000,ON,DIVIDENDO,17.34,0.07,ABEV3,,,ABEV
1513814400000000000,1517356800000000000,1517356800000000000,ON,DIVIDENDO,21.95,0.07,ABEV3,,,ABEV
1608508800000000000,1610496000000000000,1610496000000000000,ON,DIVIDENDO,16.17,0.0767,ABEV3,,,ABEV
1388966400000000000,1389657600000000000,1389657600000000000,ON,DIVIDENDO,17.25,0.1,ABEV3,,,ABEV
1466726400000000000,1468195200000000000,1468195200000000000,ON,DIVIDENDO,19.4,0.13,ABEV3,,,ABEV
