ticker,tipo_provento,data_com,data_pagamento,valor
AALR3,DIVIDENDO,1587945600000000000,1608249600000000000,0.087297
AALR3,DIVIDENDO,1556150400000000000,1557187200000000000,0.084538
ABCB4,JRS CAP PROPRIO,1703721600000000000,1708387200000000000,0.741
ABCB4,JRS CAP PROPRIO,1688083200000000000,1692144000000000000,0.836
ABCB4,JRS CAP PROPRIO,1672272000000000000,1673568000000000000,0.37
ABCB4,JRS CAP PROPRIO,1664496000000000000,1665619200000000000,0.362
ABCB4,JRS CAP PROPRIO,1656547200000000000,1657670400000000000,0.352
ABCB4,JRS CAP PROPRIO,1648684800000000000,1649808000000000000,0.313
ABCB4,JRS CAP PROPRIO,1640822400000000000,1642032000000000000,0.252
ABCB4,JRS CAP PROPRIO,1633478400000000000,1634688000000000000,0.232
ABCB4,JRS CAP PROPRIO,1625011200000000000,1626048000000000000,0.219
ABCB4,JRS CAP PROPRIO,1617148800000000000,1618185600000000000,0.213
ABCB4,JRS CAP PROPRIO,1609891200000000000,1613606400000000000,0.338164
ABCB4,JRS CAP PROPRIO,1597190400000000000,1600819200000000000,0.158672
ABCB4,JRS CAP PROPRIO,1577664000000000000,1578960000000000000,0.491
ABCB4,JRS CAP PROPRIO,1562198400000000000,1563321600000000000,0.559
ABCB4,JRS CAP PROPRIO,1545955200000000000,1549929600000000000,0.539
ABCB4,JRS CAP PROPRIO,1530230400000000000,1533859200000000000,0.54
ABCB4,JRS CAP PROPRIO,1514419200000000000,1518134400000000000,0.532
ABCB4,JRS CAP PROPRIO,1498780800000000000,1502323200000000000,0.554
ABCB4,JRS CAP PROPRIO,1482969600000000000,1486684800000000000,0.539
ABCB4,JRS CAP PROPRIO,1467244800000000000,1470787200000000000,0.548
ABCB4,JRS CAP PROPRIO,1451433600000000000,1455148800000000000,0.463003
ABCB4,JRS CAP PROPRIO,1435622400000000000,1439164800000000000,0.402
ABCB4,JRS CAP PROPRIO,1419897600000000000,1423526400000000000,0.333
ABCB4,JRS CAP PROPRIO,1404086400000000000,1407801600000000000,0.326
ABCB4,JRS CAP PROPRIO,1388361600000000000,1388361600000000000,0.303
ABCB4,JRS CAP PROPRIO,1372377600000000000,1372377600000000000,0.296649
ABCB4,JRS CAP PROPRIO,1357084800000000000,1357084800000000000,0.308
ABCB4,JRS CAP PROPRIO,1341187200000000000,1341187200000000000,0.33
ABCB4,JRS CAP PROPRIO,1325116800000000000,1325116800000000000,0.16
ABCB4,JRS CAP PROPRIO,1317340800000000000,1317340800000000000,0.15
ABCB4,JRS CAP PROPRIO,1309392000000000000,1309392000000000000,0.15
ABCB4,JRS CAP PROPRIO,1301529600000000000,1301529600000000000,0.14
ABCB4,JRS CAP PROPRIO,1293667200000000000,1293667200000000000,0.14
